Index,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity 1,Pack Quantity 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Product Notes
1,151031VS06000,Würth Elektronik,LED GREEN DIFFUSED 3MM ROUND T/H,4,4,732-5008-ND,0.15,$0.60,
2,NUP2105L,Diotec Semiconductor,TVS DIODE 24VWM 44VC SOT233,5,5,4878-NUP2105LCT-ND,0.23,$1.15,
3,3568,Keystone Electronics,FUSE HOLDER BLADE 500V 30A PCB,4,4,36-3568-ND,1.2,$4.80,
4,31271103,METZ CONNECT USA Inc.,"SCREW TYPE, TERMINAL BLOCK, RIGH",1,1,1849-1335-ND,1.56,$1.56,
5,PPTC041LFBN-RC,Sullins Connector Solutions,CONN HDR 4POS 0.1 TIN PCB,10,10,S7002-ND,0.313,$3.13,
6,PPTC191LFBN-RC,Sullins Connector Solutions,CONN HDR 19POS 0.1 TIN PCB,2,2,S7017-ND,1.05,$2.10,
7,87224-1,TE Connectivity AMP Connectors,CONN HEADER VERT 1POS,4,4,A26541-ND,0.65,$2.60,
8,31059104,METZ CONNECT USA Inc.,"SCREW TYPE, TERMINAL BLOCK, RIGH",4,4,1849-1341-ND,2.12,$8.48,
9,CF12JT4K70,Stackpole Electronics Inc,RES 4.7K OHM 5% 1/2W AXIAL,4,4,CF12JT4K70CT-ND,0.1,$0.40,
10,0287002.PXCN,Littelfuse Inc.,FUSE AUTO 2A 32VDC BLADE ATO/ATC,3,3,F4192-ND,0.39,$1.17,
11,PJ-063AH,Same Sky (Formerly CUI Devices),CONN PWR JACK 2X5.5MM SOLDER,1,1,CP-063AH-ND,1.5,$1.50,
12,0287001.U,Littelfuse Inc.,FUSE AUTO 1A 32VDC BLADE ATO/ATC,1,1,0287001.U-ND,0.43,$0.43,
13,LM2596,N/A,N/A,1,N/A,N/A,0.98,$0.98,https://www.aliexpress.com/item/1005004904872120.html?spm=a2g0o.productlist.main.1.648c541bqH9rJl&algo_pvid=3365030b-ba65-48ef-b795-25a7323940d2&algo_exp_id=3365030b-ba65-48ef-b795-25a7323940d2-0&pdp_ext_f=%7B%22order%22%3A%224923%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21GBP%210.98%210.98%21%21%211.31%211.31%21%40210385a817511532162265793e9d93%2112000030968453860%21sea%21UK%216246721987%21X&curPageLogUid=SCB0lC5DUt0Q&utparam-url=scene%3Asearch%7Cquery_from%3A
14,RS-485 TTL,N/A,N/A,5,N/A,N/A,0.28,$1.40,https://www.aliexpress.com/item/1005005737922222.html?spm=a2g0o.cart.0.0.29fc38dazYWvCI&mp=1&pdp_npi=5%40dis%21GBP%21GBP%202.28%21GBP%201.49%21%21GBP%201.49%21%21%21%402103846917511531537767901edbce%211200004452696347
15,ESP32-DevKitC,N/A,N/A,1,N/A,N/A,3.42,$3.42,https://www.aliexpress.com/item/1005007820190456.html?spm=a2g0o.productlist.main.1.3c437abdXeRiKL&algo_pvid=a9f971fb-d5f2-470f-8ec5-9bb780a11c0e&algo_exp_id=a9f971fb-d5f2-470f-8ec5-9bb780a11c0e-0&pdp_ext_f=%7B%22order%22%3A%22911%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21GBP%212.21%211.49%21%21%2121.10%2114.22%21%4021038da617511538383186262ec7d4%2112000042325137321%21sea%21UK%216246721987%21X&curPageLogUid=NeRNsyLEpTQ8&utparam-url=scene%3Asearch%7Cquery_from%3A
16,PCB,N/A,N/A,1,N/A,N/A,13.4,$13.4,
